,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.6139919353773637,0.5179141513561953,0.7057923674583435,0.7646922469139099,0.7762376237623763,0.7364960075152653,0.764692218350755,0.7558447818751506,0.5290679498525153,0.8426450297709502,0.8574310493203307
1,2,0.5030217241942118,0.471010073358312,0.7738059759140015,0.7914053201675415,0.8339663591969615,0.7219351808360732,0.7914053426248548,0.7739174219536757,0.5821547550001804,0.868056970615865,0.8790276473516011
2,3,0.46740024761968235,0.4756665371851639,0.7969459295272827,0.7941927909851074,0.7846999541914796,0.8046031000469704,0.7941927990708478,0.7945269016697588,0.5884492637311438,0.871169515686735,0.8816218247730256
3,4,0.44618004674574596,0.4531298390110472,0.8107361197471619,0.8065040707588196,0.8510292524377031,0.737905119774542,0.8065040650406504,0.790440251572327,0.612405585019715,0.8819242498549443,0.8873703187708446
4,5,0.42957709177678594,0.44527604465008336,0.8186056613922119,0.8137049674987793,0.8651623555310952,0.7383748238609676,0.8137049941927991,0.7967562088190574,0.6267748842687679,0.8875214129804105,0.8953683127697929
5,6,0.414533865723545,0.43976576674413737,0.8296082615852356,0.8160278797149658,0.8190930787589499,0.8060122123062471,0.8160278745644599,0.8125,0.6319484099954554,0.890419504462189,0.8954925904998634
6,7,0.4018303289530144,0.42822936855680577,0.8354055881500244,0.8178861737251282,0.8560084700899947,0.7595115077501174,0.8178861788617886,0.8048780487804879,0.635284923657853,0.8954237093498743,0.9002292242359616
7,8,0.3884532332114503,0.4213428651552721,0.8429050445556641,0.8264808654785156,0.8565531475748194,0.7797087834664161,0.8264808362369338,0.8163265306122449,0.6525837009966369,0.8994410176000884,0.9040989659996237
8,9,0.3757723427828139,0.41423105456272485,0.8489984273910522,0.8308942914009094,0.8442260442260442,0.8069516204790982,0.8308943089430895,0.8251681075888568,0.6615869361698912,0.903160875376454,0.9064222512352413
9,10,0.3685318086011795,0.4178066694639563,0.8527975082397461,0.8336817622184753,0.8624935864545921,0.7895725692813528,0.8336817653890825,0.8244237371260422,0.6670198428250866,0.9015281356201474,0.9062600718673899
10,11,0.3575792058593591,0.41702113392461054,0.8589895367622375,0.828339159488678,0.8403525954946132,0.8060122123062471,0.8283391405342625,0.8228242627667226,0.6564857554307328,0.9028062228884038,0.9064596613748263
11,12,0.3523066724066624,0.4102077176623505,0.8618018627166748,0.8343786001205444,0.8564954682779456,0.7989666510098637,0.8343786295005807,0.8267314702308627,0.6684772905704663,0.9066322821401928,0.9090049813843151
12,13,0.34380087503460893,0.40405013798698175,0.865773618221283,0.8380952477455139,0.8664278403275333,0.7952090183184594,0.8380952380952381,0.8292921871173158,0.6758641370706402,0.9085883751692316,0.9119101209846991
13,14,0.33481332971448846,0.40542584213230254,0.8704115152359009,0.8360046744346619,0.8555722138930535,0.8041333959605449,0.8360046457607433,0.8290556900726391,0.6717570656907063,0.9087522103721714,0.9117187152701572
14,15,0.3264136462462638,0.4020350246756196,0.874901294708252,0.8406503796577454,0.8591338974614235,0.8107092531705026,0.8406504065040651,0.834219429676172,0.6810686833622613,0.9114271060702345,0.910633773045247
15,16,0.3197804739666051,0.4032999621312654,0.8772448897361755,0.8425087332725525,0.8568617806197737,0.8182245185533115,0.8425087108013938,0.8370975492551657,0.6848263926082314,0.9101872254303318,0.9106544482820528
16,17,0.3145070299609116,0.40085368527491055,0.8806986212730408,0.8415795564651489,0.8520681265206813,0.8224518553311414,0.8415795586527294,0.836998087954111,0.6830023548007813,0.9116159806454288,0.9144514097191486
17,18,0.30656906658313393,0.400091065471596,0.8836836218833923,0.8397212624549866,0.8348068869241507,0.8426491310474401,0.8397212543554007,0.8387096774193549,0.6794368180430953,0.9121491465891194,0.9138850938142544
18,19,0.3009028043623669,0.4027363219189173,0.8883215188980103,0.8434378504753113,0.868727825646224,0.805072804133396,0.8434378629500581,0.8356899073622623,0.6865903887589604,0.9118193176166661,0.9128422027305689
19,20,0.29732138924822665,0.3984793240046529,0.8894809484481812,0.8452961444854736,0.8700050581689428,0.8078910286519493,0.8452961672473868,0.8377983438869946,0.6903166727585215,0.9137905206117204,0.9161244893343933
