,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.6726713926805791,0.6525174448852894,0.7063351273536682,0.6889663338661194,0.9076464746772592,0.42314814814814816,0.688966318234611,0.5772023997473951,0.37908397464587107,0.8329128895795562,0.8443735209464407
1,2,0.5017498413474691,0.46609702943786374,0.7943803071975708,0.815330982208252,0.8797996661101837,0.7319444444444444,0.8153310104529616,0.799090219863533,0.6308744376119316,0.8958581541914875,0.909033581832404
2,3,0.44230227941988676,0.43557558389213996,0.8295095562934875,0.8325203061103821,0.8577821979114868,0.7986111111111112,0.832520325203252,0.8271397746343803,0.6651173554682,0.9057167832167832,0.9182747941151587
3,4,0.39770034116731257,0.4227350135298141,0.8501578569412231,0.8394889831542969,0.8584675451439727,0.8143518518518519,0.8394889663182347,0.8358279876455215,0.6790317072657561,0.9133588016921351,0.9224202069320969
4,5,0.3656754542942792,0.4202651757673381,0.8682652711868286,0.8406503796577454,0.8655753968253969,0.8078703703703703,0.8406504065040651,0.835727969348659,0.6813712162407105,0.9146950271950272,0.9251930336757971
5,6,0.34266991700696975,0.401354734476712,0.8791937828063965,0.856678307056427,0.8689622190339551,0.8412037037037037,0.856678281068525,0.854857680545754,0.713385095228615,0.9236488819822154,0.9340911021932804
6,7,0.31774889836420506,0.3984753623102877,0.8914545178413391,0.860162615776062,0.8867924528301887,0.8268518518518518,0.8601626016260162,0.8557738380450408,0.7203878907147689,0.9265229215229216,0.9346374632611909
7,8,0.29560787086776663,0.3976430367648117,0.903838574886322,0.8538908362388611,0.8585480093676815,0.8486111111111111,0.853890824622532,0.8535506402793946,0.707789926916322,0.9267001208667875,0.9349913225045646
8,9,0.27653403733405746,0.3928534654582419,0.9125962257385254,0.8620209097862244,0.8775313404050145,0.8425925925925926,0.8620209059233449,0.8597071327350023,0.724076873525118,0.9290281015281017,0.9371455248762822
9,10,0.2640836050707089,0.38340132345167466,0.9170120358467102,0.8634146451950073,0.8672897196261682,0.8592592592592593,0.8634146341463415,0.8632558139534884,0.7268347955582894,0.9337434170767503,0.9410966312963596
10,11,0.25075844181390916,0.3900548538126043,0.922784686088562,0.8652729392051697,0.8733459357277883,0.8555555555555555,0.8652729384436701,0.864359214218896,0.730561796297855,0.9330249071915738,0.9407260425152313
11,12,0.23271745136910132,0.3927869987889311,0.9333925247192383,0.8641114830970764,0.8685072531586336,0.8592592592592593,0.8641114982578397,0.8638585059343729,0.7282298153235036,0.9328006561339893,0.9407893460157812
12,13,0.22302194271704984,0.38744705516702205,0.9353167414665222,0.8692218065261841,0.8726084927671488,0.8657407407407407,0.8692218350754937,0.8691610504299325,0.7384476922902601,0.934864240697574,0.9424353296714758
13,14,0.21391068444535274,0.3957064447502641,0.9390912055969238,0.8689895272254944,0.8725490196078431,0.8652777777777778,0.8689895470383275,0.8688981868898187,0.7379835474879326,0.934119399119399,0.941558099005445
14,15,0.20276846113655725,0.4022013676844961,0.9442717432975769,0.8613240122795105,0.8603042876901799,0.8638888888888889,0.8613240418118467,0.8620928620928621,0.7226406756120185,0.9334988776655444,0.9411103418441183
15,16,0.1931124222991451,0.398069234557545,0.9481448531150818,0.8722415566444397,0.8665755919854281,0.8810185185185185,0.8722415795586528,0.8737373737373738,0.7444651656726953,0.9355320296986964,0.9425941445011264
16,17,0.18632306196185194,0.40437002230465896,0.950192391872406,0.869918704032898,0.8835091083413231,0.8532407407407407,0.8699186991869918,0.868111163447951,0.7398654007387098,0.9346010316843649,0.9425323913119643
17,18,0.17719081836455386,0.40624065891375527,0.9551756381988525,0.868524968624115,0.8693234476367007,0.8685185185185185,0.8685249709639954,0.8689207966651228,0.7370476008559932,0.9351568030734696,0.9425727100846796
18,19,0.1684569219748179,0.40921833470861807,0.9580866098403931,0.8708478808403015,0.8709528214616096,0.8717592592592592,0.8708478513356562,0.8713558537714021,0.7416917304187076,0.9357193732193732,0.9428685259628771
19,20,0.16328280307506937,0.40594860947367484,0.9611703157424927,0.8666666746139526,0.8751182592242195,0.8564814814814815,0.8666666666666667,0.8656995788488536,0.7333499512792041,0.9366038591038592,0.9438247817557548
