,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.6522748080941142,0.6114250091587071,0.7152654528617859,0.7212543487548828,0.909660107334526,0.48062381852551983,0.7212543554006968,0.6289424860853433,0.43792804129781837,0.8253820658542756,0.8431049375538497
1,2,0.49778381718764864,0.48007187755404174,0.7959591746330261,0.8109175562858582,0.8604651162790697,0.7344045368620038,0.8109175377468061,0.7924528301886792,0.6207999854564625,0.8843951239269039,0.8964383648628476
2,3,0.4362644229929005,0.45464287597543274,0.8296576142311096,0.8255516886711121,0.8781163434903048,0.749054820415879,0.8255516840882694,0.8084672277480234,0.650145625893761,0.898456667251017,0.9077870874528742
3,4,0.3970206765609073,0.4495093783711999,0.8528221845626831,0.8225319385528564,0.8755555555555555,0.7448015122873346,0.8225319396051103,0.804902962206333,0.6440755001201197,0.9038261422251315,0.9101694119493223
4,5,0.36687930899657323,0.44097592439524114,0.8669331073760986,0.826945424079895,0.8412145345943255,0.7986767485822306,0.826945412311266,0.8193939393939395,0.6534991163064712,0.9060453064428518,0.914124840975363
5,6,0.34430471033251964,0.4382668536853015,0.8787744045257568,0.8371660709381104,0.8981429375351716,0.7542533081285444,0.8371660859465737,0.8199332134600564,0.6733659476176308,0.9153181269813581,0.9221840886578897
6,7,0.31902020646195595,0.41960715052696607,0.8907884359359741,0.8469221591949463,0.8569328760411563,0.8265595463137996,0.8469221835075493,0.8414722155400529,0.6935752102448238,0.9165396496142855,0.9239858305628275
7,8,0.2989268982718629,0.41286128999602645,0.9006068706512451,0.8499419093132019,0.8441011235955056,0.8520793950850661,0.8499419279907084,0.8480714957666979,0.6998448405600763,0.9215574348801922,0.9279683030326906
8,9,0.2777393184365524,0.4374117612838745,0.9106966853141785,0.8483158946037292,0.8918050348152116,0.7868620037807184,0.8483159117305459,0.8360532262113984,0.6959479739220658,0.9190054715923663,0.9242280711618045
9,10,0.26628948609010694,0.4155123641197413,0.9154825210571289,0.8550522923469543,0.8542260208926875,0.8501890359168242,0.8550522648083624,0.8522027475130269,0.7099982964699358,0.9222605984036008,0.928865659352704
10,11,0.25145020900404097,0.4194015097465803,0.9229326844215393,0.8571428656578064,0.8582338902147971,0.8497164461247637,0.8571428571428571,0.8539539301828544,0.7141562341596026,0.9222050059543292,0.9269812180150754
11,12,0.2371890148821022,0.41925273935692375,0.9277679324150085,0.8573751449584961,0.8583015267175572,0.8501890359168242,0.8573751451800232,0.8542260208926875,0.7146232699385947,0.9238577748684995,0.9278184814941789
12,13,0.22613989008774013,0.4226814390198002,0.9340092539787292,0.8599303364753723,0.8549976536837166,0.8610586011342155,0.8599303135888502,0.8580174240640452,0.7198131710038583,0.925050583731512,0.9292974113236885
13,14,0.21501384015875688,0.41603393169784103,0.9385237693786621,0.8645761013031006,0.8686868686868687,0.8534971644612477,0.8645760743321719,0.8610250297973779,0.7289952313682095,0.9282088825291606,0.9331734160515094
14,15,0.20553674626943272,0.4270307711746358,0.9422982335090637,0.8599303364753723,0.8523521192361434,0.8648393194706995,0.8599303135888502,0.8585503166783954,0.7198484887565021,0.9270117558060105,0.9312349837182805
15,16,0.19347975000618522,0.4277125511712175,0.9478981494903564,0.856678307056427,0.85007006071929,0.8601134215500945,0.856678281068525,0.8550622504110875,0.7133305913126871,0.9271787490468324,0.9325555617265401
16,17,0.18845338366289027,0.43979403503265113,0.9489342570304871,0.8578397035598755,0.8563981042654029,0.8539697542533081,0.8578397212543554,0.8551822053951726,0.7155842179067967,0.9266436582292801,0.9309591249643178
17,18,0.18244515826404742,0.43966017172311656,0.9518206119537354,0.8596979975700378,0.8705882352941177,0.8393194706994329,0.8596980255516841,0.8546679499518768,0.7191471436440815,0.9283127270654701,0.9328823271241296
18,19,0.1754270508541307,0.43866381517132264,0.9545589089393616,0.8580719828605652,0.8491879350348028,0.8648393194706995,0.8580720092915215,0.8569421681105129,0.7161496088950807,0.9286942100086271,0.931361092304355
19,20,0.16567058875665688,0.4445872742263005,0.9597641825675964,0.8627177476882935,0.8714076960545543,0.8454631379962193,0.8627177700348432,0.8582393859438715,0.7252201555439324,0.9289522021518487,0.933935953102258
