,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.690358266266747,0.5581219964464921,0.6920268535614014,0.7646922469139099,0.8069977426636569,0.680628272251309,0.764692218350755,0.7384456493674155,0.52738557594344,0.8312021498707296,0.846336005383176
1,2,0.5319450715130689,0.49671077465208013,0.7738059759140015,0.8032520413398743,0.8275862068965517,0.7539267015706806,0.8032520325203252,0.789041095890411,0.6054581356071399,0.8711379768168472,0.8788191778569684
2,3,0.4635179315254207,0.4715467738842161,0.8137457966804504,0.8139373064041138,0.8464818763326226,0.7558305568776773,0.8139372822299652,0.7985919034448076,0.6267273563538904,0.8881993580103158,0.8936434089151177
3,4,0.4171674703090695,0.4597524362297147,0.8398954272270203,0.8162601590156555,0.8532901833872708,0.7529747739171823,0.816260162601626,0.8,0.6312970000217633,0.8970315751465683,0.8993755202884243
4,5,0.38565185381412415,0.4470826495122965,0.8563005924224854,0.828339159488678,0.8391434262948207,0.8019990480723465,0.8283391405342625,0.8201508882939887,0.6561259644112405,0.9011647292664196,0.9067197236156556
5,6,0.35732038806993766,0.4433420322636417,0.8731991052627563,0.8329849243164062,0.8763616557734205,0.7658257972394098,0.8329849012775842,0.8173736347472695,0.664790538962193,0.9061265009920952,0.9101392110547618
6,7,0.33865669474390947,0.4259079136014954,0.8818334341049194,0.840185821056366,0.8411395461129889,0.829128986197049,0.8401858304297328,0.835091083413231,0.6800818481682779,0.9124274068782389,0.916981297707884
7,8,0.3147350790492642,0.43984267277584677,0.8942668437957764,0.8364692330360413,0.8814855270344074,0.7682056163731557,0.8364692218350754,0.8209562563580876,0.671765475721939,0.9115722268628454,0.9140785100006268
8,9,0.2984690210900176,0.42124651516771483,0.9014703035354614,0.8462253212928772,0.869542886492039,0.8058067586863399,0.8462253193960511,0.8364624505928854,0.6917465284695673,0.9177782207245534,0.9195264713549856
9,10,0.27995794459233414,0.4153999309575793,0.9107459783554077,0.8531939387321472,0.8819552782111284,0.8072346501665874,0.8531939605110337,0.8429423459244533,0.7056370129031295,0.9229423418629621,0.9262442391332046
10,11,0.2665203611408909,0.43019107133669304,0.9174067378044128,0.8473867774009705,0.8923913043478261,0.7815326035221323,0.8473867595818816,0.8332910428825171,0.6937096106104128,0.9200998401072517,0.9220894472323073
11,12,0.2505126908812646,0.41629180603603316,0.9244375228881836,0.8508710861206055,0.8525857902368293,0.8396001903855307,0.8508710801393728,0.8460431654676259,0.7014650819752877,0.9236682730805743,0.927070145744901
12,13,0.24269416954758746,0.41169179827494073,0.9270771741867065,0.8508710861206055,0.8515662650602409,0.8410280818657782,0.8508710801393728,0.8462643678160918,0.7014850089593057,0.92393540885811,0.9256355567716839
13,14,0.23031100159051834,0.40237088423572764,0.9333925247192383,0.8606271743774414,0.868433971526755,0.8419800095192765,0.8606271777003485,0.8550024166263895,0.7208960371775555,0.9276128988788502,0.9312828679844912
14,15,0.2207272482478268,0.4146088134120981,0.9374876618385315,0.8559814095497131,0.8471636193155181,0.8600666349357449,0.8559814169570267,0.853566367501181,0.7119003888389492,0.926292552764175,0.9294367569806723
15,16,0.21055275344133423,0.4168759031370542,0.9419034719467163,0.8608594536781311,0.8899273104880582,0.8158019990480724,0.8608594657375145,0.8512540352619816,0.721016558906169,0.9267071854989112,0.9283445091848074
16,17,0.2003630124266293,0.41661093832100726,0.9466646909713745,0.8571428656578064,0.8592843326885881,0.8457877201332699,0.8571428571428571,0.8524826097385465,0.7140171070714464,0.9281540809795006,0.9291288018702091
17,18,0.1931058323628008,0.42014660604047166,0.9485395550727844,0.8576074242591858,0.8546234509056244,0.8534031413612565,0.8576074332171894,0.8540128602048107,0.7150422437389717,0.9269631996171557,0.9282634702860998
18,19,0.1844600366756764,0.4261562832556535,0.9516972303390503,0.8617886304855347,0.8905601659751037,0.8172298905283198,0.8617886178861789,0.8523206751054853,0.7228857294656754,0.9300428194680436,0.9310377857577988
19,20,0.17731187224258727,0.41892729915254484,0.9555950164794922,0.86504065990448,0.867504835589942,0.8538791051880057,0.865040650406504,0.8606380426960901,0.7298275434284721,0.93027853385865,0.9306886671591268
