,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.6976735563891772,0.6106427474996631,0.6831212043762207,0.728687584400177,0.8520710059171598,0.5433962264150943,0.7286875725900116,0.663594470046083,0.45431104088347907,0.795057316178058,0.820671297809241
1,2,0.5722030648494439,0.5742720086538556,0.7502220273017883,0.7623693346977234,0.8536428110896196,0.6245283018867924,0.7623693379790941,0.7213293380550259,0.5227249451769538,0.8224738785026554,0.8427351140993188
2,3,0.5350801783104914,0.559986156689027,0.7743240594863892,0.7763066291809082,0.8190843905129619,0.7004716981132075,0.7763066202090593,0.7551487414187643,0.5515452793542501,0.8284688700833297,0.8490921976175668
3,4,0.509274315023554,0.5415941906446087,0.7916913628578186,0.7846689820289612,0.8201825013419216,0.720754716981132,0.7846689895470383,0.7672608586492593,0.5684616544987697,0.8398129398557921,0.8580494305812252
4,5,0.4905127160573161,0.5458770152029953,0.8039520382881165,0.7795586585998535,0.808320168509742,0.7240566037735849,0.7795586527293844,0.7638716098531975,0.5583319414467081,0.8405074262769311,0.8583942728292303
5,6,0.4763288091091049,0.5367606777901156,0.8091573119163513,0.7909407615661621,0.8234358430540827,0.7325471698113207,0.7909407665505227,0.7753369945082376,0.5810984529456092,0.8463959889469367,0.8627842818550187
6,7,0.46459121877139714,0.5322168332774465,0.8190497159957886,0.7932636737823486,0.8203125,0.7429245283018868,0.7932636469221835,0.7797029702970297,0.5858518710681626,0.8492836017443116,0.8640068417659876
7,8,0.45283157900284565,0.5415808358189674,0.8237615823745728,0.7895470261573792,0.8174686192468619,0.7372641509433963,0.7895470383275262,0.775297619047619,0.5783828133107336,0.8479588532446785,0.8623761851896717
8,9,0.4416423167423875,0.5339492488405846,0.8294109106063843,0.7904762029647827,0.8242811501597445,0.730188679245283,0.7904761904761904,0.7743871935967984,0.5801439558336496,0.8514898968092914,0.8655263604709228
9,10,0.4343561351546315,0.5393134441940627,0.8336540460586548,0.7983739972114563,0.8274058577405857,0.7462264150943396,0.7983739837398374,0.7847222222222222,0.5960665363727559,0.8530861145891799,0.8657676324276767
10,11,0.4249927630927028,0.5396516169958967,0.8400681018829346,0.7962833642959595,0.8279683377308708,0.7400943396226415,0.7962833914053427,0.7815691158156912,0.5918295309885916,0.852966301109624,0.8657097780781327
11,12,0.41711503555489077,0.533476569732861,0.8444592356681824,0.7981417179107666,0.8290373487638085,0.7433962264150943,0.7981416957026713,0.7838846058194477,0.5955699168609425,0.8556796986313199,0.8703069861886924
12,13,0.41469875749738017,0.5413023481524087,0.844261884689331,0.797212541103363,0.829023746701847,0.7410377358490566,0.797212543554007,0.7825653798256539,0.5936911978940028,0.8549724752817237,0.8668729826225449
13,14,0.4037428067025523,0.5465631079521467,0.8493191003799438,0.7876887321472168,0.8105046343975283,0.7424528301886792,0.7876887340301975,0.7749876907927129,0.5747495631066387,0.8517103104356462,0.8644319907405937
14,15,0.3997122867704497,0.547103407553264,0.8511693477630615,0.7930313348770142,0.8127226463104326,0.7533018867924528,0.7930313588850174,0.7818849449204405,0.5855175823196181,0.8539239454254999,0.8673709337483558
15,16,0.3953187088242221,0.5410149889402135,0.8532909154891968,0.798606276512146,0.827154046997389,0.7471698113207547,0.7986062717770035,0.7851301115241635,0.596540402061382,0.8570587409870041,0.8711036515166228
16,17,0.3877092820195397,0.5410747721912416,0.8568432927131653,0.7983739972114563,0.8203684749232344,0.7561320754716981,0.7983739837398374,0.7869415807560138,0.5961857048222261,0.8582961659686541,0.8721739423069714
17,18,0.38642139667257275,0.5426095824346864,0.8564979434013367,0.8013937473297119,0.8258629572385369,0.7561320754716981,0.8013937282229965,0.789460723959616,0.6021972891346532,0.8585670955485515,0.869756353069261
18,19,0.3817291992854526,0.5545744763987959,0.8593842387199402,0.798606276512146,0.8274960794563513,0.7466981132075472,0.7986062717770035,0.7850235556657574,0.5965347323976091,0.8558880229696473,0.8694755844691608
19,20,0.3795202147955958,0.5501126959487259,0.8600009679794312,0.7967479825019836,0.8158295281582952,0.7584905660377359,0.7967479674796748,0.786115864091909,0.5929777416160302,0.8565771123872026,0.8686295178374619
