,accuracy,precision,recall,f1_score,roc_auc,kappa_score,AUCs,AUPRs,algorithm
0,0.7045707915273133,0.704443538524256,0.7049080671682695,0.7043591494378962,0.7049080671682695,0.40898365726248576,0.7049080671682695,0.7653409447530948,DecisionTreeClassifier
1,0.7892976588628763,0.7969869571538349,0.7850092181972196,0.7858385347385655,0.7850092181972196,0.5743873751967604,0.7850092181972196,0.8373737752206443,RandomForestClassifier
2,0.8004459308807135,0.8135750653639742,0.7952189944690817,0.7960288877455743,0.7952189944690817,0.5961217749583074,0.7952189944690817,0.851216710076845,ExtraTreesClassifier
3,0.7915273132664437,0.798417132216015,0.7874582689720464,0.7883443594962329,0.7874582689720464,0.5790729713248968,0.7874582689720464,0.8387462501860221,GradientBoostingClassifier
4,0.778149386845039,0.7791689348575577,0.7759778763266729,0.7766291718650087,0.7759778763266729,0.5537949290958313,0.7759778763266729,0.8233815364962905,KNeighborsClassifier
5,0.7803790412486065,0.7800441509923985,0.7793911007025761,0.7796384858555565,0.7793911007025762,0.5593214844149399,0.7793911007025762,0.8243645102068781,LogisticRegression
6,0.782608695652174,0.7831674958540631,0.7807688474762071,0.7813521503528191,0.7807688474762072,0.5630456776707761,0.7807688474762072,0.8267884824543796,LinearDiscriminantAnalysis
7,0.7915273132664437,0.7916186708068313,0.7901365289750362,0.790590367898488,0.7901365289750362,0.5813317891720684,0.7901365289750362,0.8337597115955337,MLPClassifier
8,0.8060200668896321,0.809743686392763,0.8030021426080024,0.8040028731879325,0.8030021426080023,0.6091366236264011,0.8030021426080023,0.8487828724383638,SVC
9,0.7859531772575251,0.7946682946682946,0.7813892072350391,0.7821184948282492,0.7813892072350392,0.567398119122257,0.7813892072350392,0.8351636747930403,XGBClassifier
