,accuracy,precision,recall,f1_score,roc_auc,kappa_score,AUCs,AUPRs,algorithm
0,0.8084737363726462,0.8084142039580762,0.8085662074732043,0.8084327987269904,0.8085662074732043,0.6168927911764563,0.8085662074732043,0.8514667929795102,DecisionTreeClassifier
1,0.9407829534192269,0.9426084948693254,0.9401117166903747,0.9406297833033006,0.9401117166903747,0.8813511715846706,0.9401117166903747,0.9601580842889905,RandomForestClassifier
2,0.936199207135778,0.9390417937466844,0.9353398854480415,0.9359775113362055,0.9353398854480415,0.8721195144264993,0.9353398854480415,0.9584619712323854,ExtraTreesClassifier
3,0.942641228939544,0.9431425372853274,0.9423108614786624,0.9425665860739981,0.9423108614786623,0.885152630324527,0.9423108614786623,0.9582590497908168,GradientBoostingClassifier
4,0.9100594648166501,0.9106869673265456,0.9105943394018677,0.9100590175769674,0.9105943394018677,0.820232853295528,0.9105943394018677,0.9270057450628102,KNeighborsClassifier
5,0.9972745292368682,0.9973043894756377,0.997244519827744,0.9972729213795937,0.9972445198277439,0.9945458511348815,0.9972445198277439,0.9981993917750768,LogisticRegression
6,0.9972745292368682,0.9972911321880684,0.9972559444351321,0.9972729863735313,0.9972559444351321,0.9945459757621719,0.9972559444351321,0.9980758952143612,LinearDiscriminantAnalysis
7,0.9976461843409317,0.9976536970334298,0.9976363654343712,0.9976448932051788,0.9976363654343712,0.9952897870613244,0.9976363654343712,0.9982712622671768,MLPClassifier
8,0.9988850346878098,0.9988932486818247,0.9988758739133647,0.99888442309719,0.9988758739133646,0.9977688465027326,0.9988758739133646,0.9992301024456866,SVC
9,0.941402378592666,0.942124819571504,0.9409970930516459,0.9413118665188878,0.9409970930516459,0.8826546870067143,0.9409970930516459,0.9579817552756259,XGBClassifier
