,epoch_index,train_loss,val_loss,train_Accuracy,val_Accuracyes,test_precisionScore,test_recallScore,test_accuracyScore,test_F1_score,test_kappa,test_AUC,test_AUPR
0,1,0.6691515260907774,0.5918427076212344,0.7024126648902893,0.7416957020759583,0.9129707112970711,0.5197713196760362,0.7416957026713125,0.6624165148755312,0.47761581657038477,0.847598930026257,0.8533184041209374
1,2,0.5232501739648194,0.5102783455112117,0.7800226807594299,0.7893147468566895,0.8526627218934911,0.6865173892329681,0.78931475029036,0.7606228556347322,0.576367103268137,0.8725269383123769,0.8758415880296879
2,3,0.46692621929066314,0.47332243916603467,0.8115501999855042,0.8106852769851685,0.8474025974025974,0.7460695569318723,0.81068524970964,0.7935140613123891,0.6200345226751207,0.8871904853021146,0.892840950123727
3,4,0.4296740964363848,0.45537265204109517,0.8323959112167358,0.8183507323265076,0.8410150181253236,0.7737017627441639,0.8183507549361208,0.8059553349875931,0.6357699366816073,0.8968904158047891,0.9018561284662082
4,5,0.40392937776909227,0.4429348417413913,0.8476909399032593,0.8253194093704224,0.8335809806835067,0.8018103858980467,0.8253193960511034,0.8173870811073336,0.650099413892524,0.9030759585469401,0.9071762891797925
5,6,0.378461591386221,0.45169272800771204,0.8621472120285034,0.8236933946609497,0.8310276679841897,0.8013339685564554,0.8236933797909408,0.815910744603444,0.6468627803392348,0.9015652879646959,0.9034883638064216
6,7,0.36026009137352377,0.43877928742271405,0.8718916773796082,0.8348432183265686,0.8555327868852459,0.7956169604573606,0.8348432055749129,0.8244877807948654,0.6689199062980561,0.9088354036395175,0.9092330285319683
7,8,0.3427924930825844,0.4269963390043527,0.8792184591293335,0.8380952477455139,0.8453201970443349,0.8175321581705574,0.8380952380952381,0.8311939937030758,0.6757317981867215,0.913596553554622,0.913855743995397
8,9,0.32693489530229086,0.41770096037030635,0.8873347043991089,0.8418118357658386,0.8489173228346457,0.8218199142448785,0.8418118466898955,0.8351488743645606,0.6831828714797962,0.9166681064289561,0.9190252491253317
9,10,0.3109790964876615,0.4187069196803506,0.8961910605430603,0.8418118357658386,0.8441747572815534,0.8284897570271558,0.8418118466898955,0.836258716037509,0.683285412648144,0.9188231066298028,0.9212540313939414
10,11,0.2998331191567055,0.42123365745588737,0.8999901413917542,0.8415795564651489,0.8488429345150172,0.8213434969032872,0.8415795586527294,0.8348668280871671,0.6827139792978061,0.9186159968244603,0.9222848470768104
11,12,0.2865082898953033,0.4191348318715821,0.9072429537773132,0.8471544981002808,0.8662938485002541,0.8118151500714627,0.8471544715447155,0.838170191834727,0.6936527595249486,0.9204132520904269,0.9219903551365151
12,13,0.27589177591268516,0.4109617107559718,0.9121274948120117,0.8487805128097534,0.8490838958534234,0.838970938542163,0.848780487804878,0.8439971243709562,0.6972865852901126,0.9239842225089269,0.9241199219895329
